cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg07216976,chr10:114821489-114821490 - 2bp, 1CpGs: 16164155-16164156
cg07377519,chr19:49765826-49765827 - 2bp, 1CpGs: 25818807-25818808
cg14284211,chr6:35602447-35602448 - 2bp, 1CpGs: 9720335-9720336
cg23051299,chr2:75711163-75711164 - 2bp, 1CpGs: 3108777-3108778
cg20704342,chr2:75711147-75711148 - 2bp, 1CpGs: 3108776-3108777
cg15076218,chr1:46133330-46133331 - 2bp, 1CpGs: 723070-723071
cg14789659,chr10:62049314-62049315 - 2bp, 1CpGs: 15663221-15663222
cg00928816,chr10:62049339-62049340 - 2bp, 1CpGs: 15663222-15663223
cg20746552,chr10:62049349-62049350 - 2bp, 1CpGs: 15663223-15663224
cg16389209,chr10:62049362-62049363 - 2bp, 1CpGs: 15663225-15663226
cg19414630,chr8:47736312-47736313 - 2bp, 1CpGs: 12971315-12971316
cg05098343,chr7:37032081-37032082 - 2bp, 1CpGs: 11228810-11228811
cg22017733,chr5:163509447-163509448 - 2bp, 1CpGs: 9085466-9085467
cg24325362,chr18:41955206-41955207 - 2bp, 1CpGs: 24519939-24519940
cg26315985,chr1:64898187-64898188 - 2bp, 1CpGs: 894706-894707
cg02962602,chr17:82213537-82213538 - 2bp, 1CpGs: 24089953-24089954
cg13442969,chr12:67650428-67650429 - 2bp, 1CpGs: 18412857-18412858
cg12474798,chr10:62806012-62806013 - 2bp, 1CpGs: 15668867-15668868
cg20684110,chr10:62805990-62805991 - 2bp, 1CpGs: 15668865-15668866
cg01005506,chr10:62806008-62806009 - 2bp, 1CpGs: 15668866-15668867
cg19300307,chr13:98484326-98484327 - 2bp, 1CpGs: 19727776-19727777
cg02635260,chr1:222814775-222814776 - 2bp, 1CpGs: 2083822-2083823
cg00448868,chr16:66741590-66741591 - 2bp, 1CpGs: 22504184-22504185
cg11630632,chr13:32539206-32539207 - 2bp, 1CpGs: 19268423-19268424
cg17936564,chr13:32539194-32539195 - 2bp, 1CpGs: 19268421-19268422
cg08255475,chr16:88804921-88804922 - 2bp, 1CpGs: 22831070-22831071
cg12054453,chr17:59838356-59838357 - 2bp, 1CpGs: 23733418-23733419
cg01409343,chr17:59838379-59838380 - 2bp, 1CpGs: 23733419-23733420
cg07520810,chr10:62049390-62049391 - 2bp, 1CpGs: 15663226-15663227
cg20746552,chr10:62049349-62049350 - 2bp, 1CpGs: 15663223-15663224
cg16401465,chr10:62049411-62049412 - 2bp, 1CpGs: 15663227-15663228
cg16389209,chr10:62049362-62049363 - 2bp, 1CpGs: 15663225-15663226
cg26894079,chr11:123083727-123083728 - 2bp, 1CpGs: 17629781-17629782
cg17084151,chr8:101791009-101791010 - 2bp, 1CpGs: 13378893-13378894
cg16744438,chr11:118786418-118786419 - 2bp, 1CpGs: 17577593-17577594
cg10932907,chr11:129854052-129854053 - 2bp, 1CpGs: 17698911-17698912
cg25124966,chr11:129854092-129854093 - 2bp, 1CpGs: 17698912-17698913
cg08367326,chr1:109509388-109509389 - 2bp, 1CpGs: 1199301-1199302
cg27016579,chr5:169351024-169351025 - 2bp, 1CpGs: 9132721-9132722
cg04858631,chr10:72275812-72275813 - 2bp, 1CpGs: 15762592-15762593
cg10535675,chr11:86244532-86244533 - 2bp, 1CpGs: 17329949-17329950
cg08786207,chr8:41701785-41701786 - 2bp, 1CpGs: 12895964-12895965
cg11895835,chr5:111742779-111742780 - 2bp, 1CpGs: 8652727-8652728
cg06493154,chr6:42891285-42891286 - 2bp, 1CpGs: 9803736-9803737
cg13488013,chr17:49515318-49515319 - 2bp, 1CpGs: 23630005-23630006
cg10807894,chr12:124685258-124685259 - 2bp, 1CpGs: 18942346-18942347
cg07748583,chr7:151460080-151460081 - 2bp, 1CpGs: 12316626-12316627
cg15935721,chr7:151460054-151460055 - 2bp, 1CpGs: 12316625-12316626
cg19668951,chr11:47409261-47409262 - 2bp, 1CpGs: 16875414-16875415
cg12946660,chr19:41265968-41265969 - 2bp, 1CpGs: 25656521-25656522
cg08979515,chr3:111978728-111978729 - 2bp, 1CpGs: 5510004-5510005
cg10672681,chr3:111978690-111978691 - 2bp, 1CpGs: 5510002-5510003
cg12420283,chr1:174021261-174021262 - 2bp, 1CpGs: 1689280-1689281
cg25131247,chr11:118790256-118790257 - 2bp, 1CpGs: 17577679-17577680
cg11006453,chr8:140589086-140589087 - 2bp, 1CpGs: 13676253-13676254
cg13157980,chr8:140589042-140589043 - 2bp, 1CpGs: 13676250-13676251
cg27653384,chr22:21938746-21938747 - 2bp, 1CpGs: 27379325-27379326
cg27395200,chr6:32974933-32974934 - 2bp, 1CpGs: 9679606-9679607
cg07275218,chr6:32974937-32974938 - 2bp, 1CpGs: 9679607-9679608
cg27312961,chr3:191330572-191330573 - 2bp, 1CpGs: 6149779-6149780
cg13506158,chr3:191330588-191330589 - 2bp, 1CpGs: 6149780-6149781
cg27269488,chr3:191330622-191330623 - 2bp, 1CpGs: 6149781-6149782
cg22109530,chr1:178341399-178341400 - 2bp, 1CpGs: 1720637-1720638
cg14515791,chr1:178341410-178341411 - 2bp, 1CpGs: 1720638-1720639
cg15643574,chr11:86067199-86067200 - 2bp, 1CpGs: 17328413-17328414
cg12128828,chr14:90697698-90697699 - 2bp, 1CpGs: 20569949-20569950
cg25594549,chr19:16629497-16629498 - 2bp, 1CpGs: 25277656-25277657
cg19331221,chr15:90184795-90184796 - 2bp, 1CpGs: 21588224-21588225
cg18569141,chr15:90184763-90184764 - 2bp, 1CpGs: 21588221-21588222
cg16439823,chr15:90184788-90184789 - 2bp, 1CpGs: 21588223-21588224
cg09942210,chr12:124480681-124480682 - 2bp, 1CpGs: 18937864-18937865
cg05507654,chr16:88443449-88443450 - 2bp, 1CpGs: 22818721-22818722
cg10509607,chr14:99192204-99192205 - 2bp, 1CpGs: 20668089-20668090
cg00982136,chr2:200861416-200861417 - 2bp, 1CpGs: 4123582-4123583
cg26077811,chr11:119361553-119361554 - 2bp, 1CpGs: 17588379-17588380
cg25843651,chr15:85786371-85786372 - 2bp, 1CpGs: 21542777-21542778
cg03419014,chr21:36990442-36990443 - 2bp, 1CpGs: 27053311-27053312
cg14785464,chr21:36990425-36990426 - 2bp, 1CpGs: 27053308-27053309
cg06167719,chr21:36990427-36990428 - 2bp, 1CpGs: 27053309-27053310
cg09037712,chr21:36990454-36990455 - 2bp, 1CpGs: 27053312-27053313
cg18215449,chr12:65695693-65695694 - 2bp, 1CpGs: 18397987-18397988
cg24287110,chr10:3782495-3782496 - 2bp, 1CpGs: 15098076-15098077
cg17790605,chr4:44449509-44449510 - 2bp, 1CpGs: 6689567-6689568
cg26401541,chr6:90369255-90369256 - 2bp, 1CpGs: 10143041-10143042
cg19733736,chr12:55721245-55721246 - 2bp, 1CpGs: 18310804-18310805
cg18842353,chr13:97141798-97141799 - 2bp, 1CpGs: 19713020-19713021
cg22365240,chr2:104758537-104758538 - 2bp, 1CpGs: 3366848-3366849
cg16278496,chr14:97978139-97978140 - 2bp, 1CpGs: 20656390-20656391
cg11798182,chr14:97978176-97978177 - 2bp, 1CpGs: 20656392-20656393
cg26269881,chr3:4981625-4981626 - 2bp, 1CpGs: 4605690-4605691
cg00270878,chr11:64566745-64566746 - 2bp, 1CpGs: 17059508-17059509
cg19980260,chr3:172140682-172140683 - 2bp, 1CpGs: 5981848-5981849
cg15838914,chr12:6471331-6471332 - 2bp, 1CpGs: 17849520-17849521
cg18856478,chr1:43348687-43348688 - 2bp, 1CpGs: 686281-686282
cg19442545,chr10:73773673-73773674 - 2bp, 1CpGs: 15778937-15778938
cg15838173,chr10:73773642-73773643 - 2bp, 1CpGs: 15778934-15778935
cg07438103,chr11:47153592-47153593 - 2bp, 1CpGs: 16870222-16870223
cg01269537,chr16:70381611-70381612 - 2bp, 1CpGs: 22564540-22564541
cg02337825,chr5:181053982-181053983 - 2bp, 1CpGs: 9303263-9303264
cg00704305,chr6:127343805-127343806 - 2bp, 1CpGs: 10395864-10395865
cg11026333,chr7:150323180-150323181 - 2bp, 1CpGs: 12297033-12297034
cg22298430,chr17:5501010-5501011 - 2bp, 1CpGs: 22989311-22989312
cg27230784,chr17:5501017-5501018 - 2bp, 1CpGs: 22989312-22989313
cg00050152,chr5:181052829-181052830 - 2bp, 1CpGs: 9303120-9303121
cg22298430,chr17:5501010-5501011 - 2bp, 1CpGs: 22989311-22989312
cg27230784,chr17:5501017-5501018 - 2bp, 1CpGs: 22989312-22989313
cg12610207,chr12:114396145-114396146 - 2bp, 1CpGs: 18789635-18789636
cg05065572,chr12:114396107-114396108 - 2bp, 1CpGs: 18789631-18789632
cg08151857,chr17:48614458-48614459 - 2bp, 1CpGs: 23615046-23615047
cg20291436,chr4:110618196-110618197 - 2bp, 1CpGs: 7150786-7150787
cg14609025,chr1:119008360-119008361 - 2bp, 1CpGs: 1284918-1284919
cg07696033,chr11:44304860-44304861 - 2bp, 1CpGs: 16833400-16833401
cg01270001,chr7:150323312-150323313 - 2bp, 1CpGs: 12297048-12297049
cg14673387,chr10:46541431-46541432 - 2bp, 1CpGs: 15552836-15552837
cg12043818,chr10:46541414-46541415 - 2bp, 1CpGs: 15552833-15552834
cg09385093,chr2:118850309-118850310 - 2bp, 1CpGs: 3501278-3501279
cg05401764,chr3:158098019-158098020 - 2bp, 1CpGs: 5888546-5888547
cg23625715,chr1:1040792-1040793 - 2bp, 1CpGs: 15336-15337
cg01150641,chr1:1040788-1040789 - 2bp, 1CpGs: 15335-15336
cg22773661,chr4:48490208-48490209 - 2bp, 1CpGs: 6714961-6714962
cg04549333,chr11:44304273-44304274 - 2bp, 1CpGs: 16833361-16833362
cg15141467,chr1:155062899-155062900 - 2bp, 1CpGs: 1518946-1518947
cg00585901,chr1:155062912-155062913 - 2bp, 1CpGs: 1518948-1518949
cg08455275,chr8:143973811-143973812 - 2bp, 1CpGs: 13754236-13754237
cg00886954,chr8:143973545-143973546 - 2bp, 1CpGs: 13754192-13754193
cg12378888,chr4:4865375-4865376 - 2bp, 1CpGs: 6344656-6344657
cg22747076,chr12:54054089-54054090 - 2bp, 1CpGs: 18295536-18295537
cg01697719,chr22:19766602-19766603 - 2bp, 1CpGs: 27334378-27334379
cg18671949,chr17:5501261-5501262 - 2bp, 1CpGs: 22989332-22989333
cg17466857,chr7:27185909-27185910 - 2bp, 1CpGs: 11140481-11140482
cg10657141,chr7:27185924-27185925 - 2bp, 1CpGs: 11140482-11140483
cg25901381,chr7:27185866-27185867 - 2bp, 1CpGs: 11140479-11140480
cg22717014,chr4:110621317-110621318 - 2bp, 1CpGs: 7150932-7150933
cg16184803,chr4:110621288-110621289 - 2bp, 1CpGs: 7150929-7150930
cg10107434,chr2:176157171-176157172 - 2bp, 1CpGs: 3959579-3959580
cg01425666,chr7:5428805-5428806 - 2bp, 1CpGs: 10953428-10953429
cg08940511,chr2:240983361-240983362 - 2bp, 1CpGs: 4541429-4541430
cg22122410,chr3:128493426-128493427 - 2bp, 1CpGs: 5653497-5653498
cg19638477,chr3:128493430-128493431 - 2bp, 1CpGs: 5653499-5653500
cg09888562,chr16:54284402-54284403 - 2bp, 1CpGs: 22391578-22391579
cg02087954,chr7:100966381-100966382 - 2bp, 1CpGs: 11866943-11866944
cg21890551,chr14:61568867-61568868 - 2bp, 1CpGs: 20301604-20301605
cg14781521,chr3:129344247-129344248 - 2bp, 1CpGs: 5667801-5667802
cg03580106,chr16:89216649-89216650 - 2bp, 1CpGs: 22845076-22845077
cg06550177,chr7:5429904-5429905 - 2bp, 1CpGs: 10953490-10953491
cg25916282,chr2:176159032-176159033 - 2bp, 1CpGs: 3959681-3959682
cg18944451,chr2:176158988-176158989 - 2bp, 1CpGs: 3959679-3959680
cg03709091,chr6:48068673-48068674 - 2bp, 1CpGs: 9854997-9854998
cg15316660,chr21:36747619-36747620 - 2bp, 1CpGs: 27049546-27049547
cg09556952,chr21:36747645-36747646 - 2bp, 1CpGs: 27049549-27049550
cg26985666,chr11:35419541-35419542 - 2bp, 1CpGs: 16773318-16773319
cg11986813,chr10:42933696-42933697 - 2bp, 1CpGs: 15512593-15512594
cg12426196,chr1:161039036-161039037 - 2bp, 1CpGs: 1585752-1585753
cg13906823,chr1:161039034-161039035 - 2bp, 1CpGs: 1585751-1585752
cg24161057,chr1:161039021-161039022 - 2bp, 1CpGs: 1585750-1585751
cg01519253,chr12:114448658-114448659 - 2bp, 1CpGs: 18790899-18790900
cg14249348,chr4:48490287-48490288 - 2bp, 1CpGs: 6714973-6714974
cg18342279,chr4:48490327-48490328 - 2bp, 1CpGs: 6714977-6714978
cg26222311,chr1:1040847-1040848 - 2bp, 1CpGs: 15341-15342
cg12426196,chr1:161039036-161039037 - 2bp, 1CpGs: 1585752-1585753
cg13906823,chr1:161039034-161039035 - 2bp, 1CpGs: 1585751-1585752
cg24161057,chr1:161039021-161039022 - 2bp, 1CpGs: 1585750-1585751
cg05848863,chr7:16754453-16754454 - 2bp, 1CpGs: 11051319-11051320
cg23932491,chr10:117535545-117535546 - 2bp, 1CpGs: 16189550-16189551
cg12602409,chr2:176174840-176174841 - 2bp, 1CpGs: 3960170-3960171
cg24761867,chr5:139393015-139393016 - 2bp, 1CpGs: 8872805-8872806
cg01054755,chr5:139392996-139392997 - 2bp, 1CpGs: 8872803-8872804
cg15628956,chr12:53054450-53054451 - 2bp, 1CpGs: 18278747-18278748
cg08382235,chr22:19766728-19766729 - 2bp, 1CpGs: 27334394-27334395
cg14417498,chr1:165352962-165352963 - 2bp, 1CpGs: 1623647-1623648
cg15141467,chr1:155062899-155062900 - 2bp, 1CpGs: 1518946-1518947
cg00585901,chr1:155062912-155062913 - 2bp, 1CpGs: 1518948-1518949
cg26942121,chr11:8810656-8810657 - 2bp, 1CpGs: 16562730-16562731
cg08451832,chr10:117551453-117551454 - 2bp, 1CpGs: 16190253-16190254
cg11224624,chr8:143975112-143975113 - 2bp, 1CpGs: 13754291-13754292
cg27250236,chr6:48068881-48068882 - 2bp, 1CpGs: 9855013-9855014
cg24035447,chr6:48068877-48068878 - 2bp, 1CpGs: 9855012-9855013
cg23618440,chr6:48068869-48068870 - 2bp, 1CpGs: 9855011-9855012
cg09816507,chr6:48068848-48068849 - 2bp, 1CpGs: 9855007-9855008
cg00457913,chr6:48068867-48068868 - 2bp, 1CpGs: 9855010-9855011
cg27180868,chr1:161038960-161038961 - 2bp, 1CpGs: 1585743-1585744
cg17160984,chr10:129967514-129967515 - 2bp, 1CpGs: 16343873-16343874
cg07724977,chr11:35419651-35419652 - 2bp, 1CpGs: 16773329-16773330
cg24859937,chr8:38554190-38554191 - 2bp, 1CpGs: 12866958-12866959
cg04458368,chr8:38554164-38554165 - 2bp, 1CpGs: 12866957-12866958
cg11731300,chr1:161038752-161038753 - 2bp, 1CpGs: 1585724-1585725
cg14377596,chr1:201740007-201740008 - 2bp, 1CpGs: 1891141-1891142
cg09494609,chr12:53054396-53054397 - 2bp, 1CpGs: 18278745-18278746
cg25021051,chr12:53054394-53054395 - 2bp, 1CpGs: 18278744-18278745
cg13153394,chr3:45167704-45167705 - 2bp, 1CpGs: 4950567-4950568
cg19092164,chr3:45167695-45167696 - 2bp, 1CpGs: 4950565-4950566
cg15697476,chr6:32087697-32087698 - 2bp, 1CpGs: 9669477-9669478
cg09996288,chr6:32087740-32087741 - 2bp, 1CpGs: 9669482-9669483
cg17001689,chr6:32087748-32087749 - 2bp, 1CpGs: 9669483-9669484
cg02740950,chr6:32087757-32087758 - 2bp, 1CpGs: 9669484-9669485
cg08964780,chr7:27169844-27169845 - 2bp, 1CpGs: 11139808-11139809
cg18418335,chr19:2042089-2042090 - 2bp, 1CpGs: 24950336-24950337
cg10256219,chr17:46193145-46193146 - 2bp, 1CpGs: 23581945-23581946
cg12426196,chr1:161039036-161039037 - 2bp, 1CpGs: 1585752-1585753
cg13906823,chr1:161039034-161039035 - 2bp, 1CpGs: 1585751-1585752
cg24161057,chr1:161039021-161039022 - 2bp, 1CpGs: 1585750-1585751
cg09899173,chr8:1817170-1817171 - 2bp, 1CpGs: 12480378-12480379
cg09177567,chr8:1817146-1817147 - 2bp, 1CpGs: 12480374-12480375
cg11998141,chr8:1817143-1817144 - 2bp, 1CpGs: 12480373-12480374
cg25673948,chr8:1817130-1817131 - 2bp, 1CpGs: 12480372-12480373
cg26990102,chr2:118849170-118849171 - 2bp, 1CpGs: 3501209-3501210
cg01145709,chr7:10939620-10939621 - 2bp, 1CpGs: 11012606-11012607
cg01796166,chr14:94773249-94773250 - 2bp, 1CpGs: 20621363-20621364
cg19870698,chr14:94773233-94773234 - 2bp, 1CpGs: 20621362-20621363
cg25644556,chr7:27169963-27169964 - 2bp, 1CpGs: 11139821-11139822
cg21183329,chr9:122213940-122213941 - 2bp, 1CpGs: 14720069-14720070
cg27136994,chr15:81134193-81134194 - 2bp, 1CpGs: 21492231-21492232
cg27045999,chr15:81134203-81134204 - 2bp, 1CpGs: 21492233-21492234
cg27419860,chr15:81134136-81134137 - 2bp, 1CpGs: 21492227-21492228
cg26546864,chr15:81134093-81134094 - 2bp, 1CpGs: 21492226-21492227
cg16842767,chr2:88017339-88017340 - 2bp, 1CpGs: 3202892-3202893
cg07669260,chr2:88017328-88017329 - 2bp, 1CpGs: 3202889-3202890
cg09494609,chr12:53054396-53054397 - 2bp, 1CpGs: 18278745-18278746
cg25021051,chr12:53054394-53054395 - 2bp, 1CpGs: 18278744-18278745
cg14834267,chr1:201648719-201648720 - 2bp, 1CpGs: 1889946-1889947
cg16517702,chr1:201648725-201648726 - 2bp, 1CpGs: 1889948-1889949
cg04705435,chr11:17389723-17389724 - 2bp, 1CpGs: 16638922-16638923
cg01579535,chr12:54053508-54053509 - 2bp, 1CpGs: 18295512-18295513
cg02264990,chr12:54053459-54053460 - 2bp, 1CpGs: 18295509-18295510
cg03923561,chr12:54053436-54053437 - 2bp, 1CpGs: 18295508-18295509
cg09720701,chr12:54053499-54053500 - 2bp, 1CpGs: 18295511-18295512
cg05001964,chr16:54284896-54284897 - 2bp, 1CpGs: 22391638-22391639
cg08279075,chr16:54284860-54284861 - 2bp, 1CpGs: 22391635-22391636
cg16023122,chr1:201739708-201739709 - 2bp, 1CpGs: 1891120-1891121
cg12690127,chr12:6946520-6946521 - 2bp, 1CpGs: 17859616-17859617
cg23193870,chr12:6946494-6946495 - 2bp, 1CpGs: 17859613-17859614
cg16063747,chr10:117534662-117534663 - 2bp, 1CpGs: 16189464-16189465
cg20967139,chr12:54391271-54391272 - 2bp, 1CpGs: 18300585-18300586
cg03946762,chr12:54391259-54391260 - 2bp, 1CpGs: 18300583-18300584
cg07995179,chr6:84774569-84774570 - 2bp, 1CpGs: 10099090-10099091
cg03003689,chr1:156705178-156705179 - 2bp, 1CpGs: 1547700-1547701
cg16620392,chr10:129967115-129967116 - 2bp, 1CpGs: 16343836-16343837
cg01283201,chr5:78510346-78510347 - 2bp, 1CpGs: 8435829-8435830
cg12610207,chr12:114396145-114396146 - 2bp, 1CpGs: 18789635-18789636
cg05065572,chr12:114396107-114396108 - 2bp, 1CpGs: 18789631-18789632
cg13506653,chr4:54099696-54099697 - 2bp, 1CpGs: 6771956-6771957
cg21905630,chr4:54099737-54099738 - 2bp, 1CpGs: 6771959-6771960
cg23735712,chr4:40856967-40856968 - 2bp, 1CpGs: 6661702-6661703
cg05020685,chr4:40856948-40856949 - 2bp, 1CpGs: 6661700-6661701
cg05894734,chr4:40857232-40857233 - 2bp, 1CpGs: 6661730-6661731
cg06485940,chr4:40857276-40857277 - 2bp, 1CpGs: 6661736-6661737
cg06456154,chr10:117550845-117550846 - 2bp, 1CpGs: 16190234-16190235
cg15526081,chr10:117550893-117550894 - 2bp, 1CpGs: 16190237-16190238
cg14149007,chr19:46716298-46716299 - 2bp, 1CpGs: 25747784-25747785
cg15524063,chr1:43367245-43367246 - 2bp, 1CpGs: 686694-686695
cg25385412,chr1:43367280-43367281 - 2bp, 1CpGs: 686699-686700
cg05401447,chr7:101085450-101085451 - 2bp, 1CpGs: 11868878-11868879
cg06772157,chr7:101085430-101085431 - 2bp, 1CpGs: 11868877-11868878
cg13892980,chr15:40252942-40252943 - 2bp, 1CpGs: 21057608-21057609
cg11939465,chr15:40253023-40253024 - 2bp, 1CpGs: 21057618-21057619
cg18097281,chr15:40252944-40252945 - 2bp, 1CpGs: 21057609-21057610
cg12635019,chr15:40252974-40252975 - 2bp, 1CpGs: 21057612-21057613
cg04305879,chr15:40253014-40253015 - 2bp, 1CpGs: 21057617-21057618
cg23864632,chr19:46717144-46717145 - 2bp, 1CpGs: 25747840-25747841
cg12258919,chr16:2471472-2471473 - 2bp, 1CpGs: 21807390-21807391
cg15524063,chr1:43367245-43367246 - 2bp, 1CpGs: 686694-686695
cg25385412,chr1:43367280-43367281 - 2bp, 1CpGs: 686699-686700
cg26385074,chr7:101173459-101173460 - 2bp, 1CpGs: 11871105-11871106
cg05068428,chr15:40253095-40253096 - 2bp, 1CpGs: 21057625-21057626
cg01036164,chr15:40253123-40253124 - 2bp, 1CpGs: 21057628-21057629
cg04812615,chr15:40253125-40253126 - 2bp, 1CpGs: 21057629-21057630
cg13892980,chr15:40252942-40252943 - 2bp, 1CpGs: 21057608-21057609
cg18097281,chr15:40252944-40252945 - 2bp, 1CpGs: 21057609-21057610
cg12635019,chr15:40252974-40252975 - 2bp, 1CpGs: 21057612-21057613
cg24940138,chr17:43211722-43211723 - 2bp, 1CpGs: 23527584-23527585
cg21211480,chr17:43211755-43211756 - 2bp, 1CpGs: 23527587-23527588
cg15026277,chr17:43211770-43211771 - 2bp, 1CpGs: 23527588-23527589
cg19548479,chr17:43211718-43211719 - 2bp, 1CpGs: 23527583-23527584
cg24940138,chr17:43211722-43211723 - 2bp, 1CpGs: 23527584-23527585
cg21211480,chr17:43211755-43211756 - 2bp, 1CpGs: 23527587-23527588
cg15026277,chr17:43211770-43211771 - 2bp, 1CpGs: 23527588-23527589
cg00500522,chr12:57110604-57110605 - 2bp, 1CpGs: 18331769-18331770
cg24804544,chr7:6504476-6504477 - 2bp, 1CpGs: 10976087-10976088
cg26721700,chr19:35154695-35154696 - 2bp, 1CpGs: 25544066-25544067
cg09386954,chr19:35154717-35154718 - 2bp, 1CpGs: 25544070-25544071
cg22194948,chr2:43220000-43220001 - 2bp, 1CpGs: 2820966-2820967
cg05327835,chr4:1002387-1002388 - 2bp, 1CpGs: 6262428-6262429
cg18732064,chr14:22886850-22886851 - 2bp, 1CpGs: 19999137-19999138
cg08230695,chr19:46717498-46717499 - 2bp, 1CpGs: 25747866-25747867
cg01579950,chr11:64713546-64713547 - 2bp, 1CpGs: 17062076-17062077
cg22409276,chr15:40471564-40471565 - 2bp, 1CpGs: 21061993-21061994
cg18477204,chr14:69572167-69572168 - 2bp, 1CpGs: 20376163-20376164
cg02380334,chr14:69572208-69572209 - 2bp, 1CpGs: 20376169-20376170
cg14280424,chr21:33266808-33266809 - 2bp, 1CpGs: 27007134-27007135
cg18201077,chr2:6877656-6877657 - 2bp, 1CpGs: 2461393-2461394
cg14217558,chr1:3171170-3171171 - 2bp, 1CpGs: 84711-84712
cg20154143,chr1:3171145-3171146 - 2bp, 1CpGs: 84708-84709
cg12536502,chr19:45639415-45639416 - 2bp, 1CpGs: 25726177-25726178
cg07749923,chr19:45639453-45639454 - 2bp, 1CpGs: 25726182-25726183
cg07804711,chr19:45639389-45639390 - 2bp, 1CpGs: 25726174-25726175
cg25548415,chr8:143942307-143942308 - 2bp, 1CpGs: 13753142-13753143
cg13892980,chr15:40252942-40252943 - 2bp, 1CpGs: 21057608-21057609
cg18097281,chr15:40252944-40252945 - 2bp, 1CpGs: 21057609-21057610
cg12635019,chr15:40252974-40252975 - 2bp, 1CpGs: 21057612-21057613
cg05330668,chr14:24366884-24366885 - 2bp, 1CpGs: 20020289-20020290
cg03577460,chr14:24366878-24366879 - 2bp, 1CpGs: 20020287-20020288
cg01914455,chr7:78020247-78020248 - 2bp, 1CpGs: 11685328-11685329
cg04976780,chr7:78020223-78020224 - 2bp, 1CpGs: 11685326-11685327
cg14506834,chr17:74213059-74213060 - 2bp, 1CpGs: 23902316-23902317
cg19598544,chr17:74213017-74213018 - 2bp, 1CpGs: 23902312-23902313
cg24940138,chr17:43211722-43211723 - 2bp, 1CpGs: 23527584-23527585
cg21211480,chr17:43211755-43211756 - 2bp, 1CpGs: 23527587-23527588
cg15026277,chr17:43211770-43211771 - 2bp, 1CpGs: 23527588-23527589
cg19548479,chr17:43211718-43211719 - 2bp, 1CpGs: 23527583-23527584
cg21185826,chr17:49902149-49902150 - 2bp, 1CpGs: 23635629-23635630
cg09456094,chr2:230416163-230416164 - 2bp, 1CpGs: 4378054-4378055
cg11702456,chr2:230416192-230416193 - 2bp, 1CpGs: 4378056-4378057
cg11827097,chr2:230416188-230416189 - 2bp, 1CpGs: 4378055-4378056
cg14689219,chr17:60139996-60139997 - 2bp, 1CpGs: 23737932-23737933
cg18222083,chr17:43211988-43211989 - 2bp, 1CpGs: 23527603-23527604
cg10504751,chr16:56356918-56356919 - 2bp, 1CpGs: 22412272-22412273
cg15892785,chr1:6249283-6249284 - 2bp, 1CpGs: 141256-141257
cg05473804,chr1:6249240-6249241 - 2bp, 1CpGs: 141249-141250
cg03529908,chr1:2546650-2546651 - 2bp, 1CpGs: 69549-69550
cg03148231,chr15:89411614-89411615 - 2bp, 1CpGs: 21576053-21576054
cg03650397,chr6:158818197-158818198 - 2bp, 1CpGs: 10667711-10667712
cg01240734,chr10:70132837-70132838 - 2bp, 1CpGs: 15732092-15732093
cg09456094,chr2:230416163-230416164 - 2bp, 1CpGs: 4378054-4378055
cg11702456,chr2:230416192-230416193 - 2bp, 1CpGs: 4378056-4378057
cg11827097,chr2:230416188-230416189 - 2bp, 1CpGs: 4378055-4378056
cg24210478,chr20:64102133-64102134 - 2bp, 1CpGs: 26751386-26751387
cg08967106,chr17:36657981-36657982 - 2bp, 1CpGs: 23424261-23424262
cg00371418,chr17:36658007-36658008 - 2bp, 1CpGs: 23424262-23424263
cg16860694,chr19:35154786-35154787 - 2bp, 1CpGs: 25544077-25544078
cg11260421,chr19:35154777-35154778 - 2bp, 1CpGs: 25544076-25544077
cg10227705,chr19:35154809-35154810 - 2bp, 1CpGs: 25544079-25544080
cg15844835,chr5:141651575-141651576 - 2bp, 1CpGs: 8906116-8906117
cg09904383,chr5:141651558-141651559 - 2bp, 1CpGs: 8906114-8906115
cg08742288,chr5:141651580-141651581 - 2bp, 1CpGs: 8906117-8906118
cg12927498,chr5:141651555-141651556 - 2bp, 1CpGs: 8906113-8906114
cg12471950,chr11:5685171-5685172 - 2bp, 1CpGs: 16535029-16535030
cg05122965,chr11:5685132-5685133 - 2bp, 1CpGs: 16535027-16535028
cg01799588,chr11:5685151-5685152 - 2bp, 1CpGs: 16535028-16535029
cg22125968,chr13:42992336-42992337 - 2bp, 1CpGs: 19349703-19349704
cg01536987,chr13:42992356-42992357 - 2bp, 1CpGs: 19349704-19349705
cg04537567,chr6:98848192-98848193 - 2bp, 1CpGs: 10190739-10190740
cg14511665,chr17:64776978-64776979 - 2bp, 1CpGs: 23794951-23794952
cg12137286,chr19:55442629-55442630 - 2bp, 1CpGs: 25925802-25925803
cg08918013,chr19:55442584-55442585 - 2bp, 1CpGs: 25925797-25925798
cg23589045,chr1:51518087-51518088 - 2bp, 1CpGs: 770821-770822
cg11026555,chr12:123762676-123762677 - 2bp, 1CpGs: 18924268-18924269
cg25814383,chr19:19225431-19225432 - 2bp, 1CpGs: 25339353-25339354
cg04313875,chr17:1649908-1649909 - 2bp, 1CpGs: 22912358-22912359
cg19411214,chr17:45247949-45247950 - 2bp, 1CpGs: 23567733-23567734
